"ID","movie","director","actor_1","actor_2","actor_3","year","language","score"
762,"Joy","david o. russell","jennifer lawrence","robert de niro","bradley cooper",2015,"English",6.6
763,"London Has Fallen","babak najafi","gerard butler","radha mitchell","julian kostov",2016,"English",5.9
764,"Alien: Resurrection","jean-pierre jeunet","gary dourdan","michael wincott","raymond cruz",1997,"English",6.3
765,"Shooter","antoine fuqua","tate donovan","ned beatty","louis ferreira",2007,"English",7.2
766,"The Boxtrolls","graham annable","isaac hempstead wright","dee bradley baker","tracy morgan",2014,"English",6.8
767,"Practical Magic","griffin dunne","goran visnjic","dianne wiest","stockard channing",1998,"English",6.1
768,"The Lego Movie","phil lord","morgan freeman","will ferrell","alison brie",2014,"English",7.8
769,"Miss Congeniality 2: Armed and Fabulous","john pasquin","eileen brennan","diedrich bader","treat williams",2005,"English",5
770,"Reign of Fire","rob bowman","christian bale","gerard butler","matthew mcconaughey",2002,"English",6.2
771,"Gangster Squad","ruben fleischer","ryan gosling","brandon molale","wade williams",2013,"English",6.7
772,"Year One","harold ramis","olivia wilde","oliver platt","xander berkeley",2009,"English",4.9
773,"Invictus","clint eastwood","matt damon","morgan freeman","leleti khumalo",2009,"English",7.4
774,"State of Play","kevin macdonald","robin wright","harry lennix","michael weston",2009,"English",7.1
775,"Duplicity","tony gilroy","julia roberts","tom wilkinson","denis o'hare",2009,"English",6.2
776,"My Favorite Martian","donald petrie","steven anthony lawrence","ray walston","michael lerner",1999,"English",4.9
777,"The Sentinel","clark johnson","blair brown","david rasche","martin donovan",2006,"English",6.1
778,"Planet 51","jorge blanco","dwayne johnson","gary oldman","james corden",2009,"English",6.1
779,"Star Trek: Nemesis","stuart baird","tom hardy","levar burton","jonathan frakes",2002,"English",6.4
780,"Intolerable Cruelty","joel coen","cedric the entertainer","paul adelstein","julia duffy",2003,"English",6.3
781,"Trouble with the Curve","robert lorenz","clint eastwood","ed lauter","bob gunton",2012,"English",6.8
782,"Edge of Darkness","martin campbell","bojana novakovic","ray winstone","denis o'hare",2010,"English",6.6
783,"The Relic","peter hyams","john kapelos","penelope ann miller","chi muoi lo",1997,"English",5.7
784,"Analyze That","harold ramis","robert de niro","cathy moriarty","joe viterelli",2002,"English",5.9
785,"Righteous Kill","jon avnet","robert de niro","al pacino","50 cent",2008,"English",6
786,"Mercury Rising","harold becker","bruce willis","miko hughes","carrie preston",1998,"English",6.1
787,"The Soloist","joe wright","robert downey jr.","stephen root","rachael harris",2009,"English",6.7
788,"The Legend of Bagger Vance","robert redford","matt damon","will smith","charlize theron",2000,"English",6.7
789,"Almost Famous","cameron crowe","philip seymour hoffman","zooey deschanel","michael angarano",2000,"English",7.9
790,"Garfield 2","tim hill","bill murray","roger rees","ben falcone",2006,"English",5
791,"xXx: State of the Union","lee tamahori","sunny mabrey","nona gaye","xzibit",2005,"English",4.3
792,"Priest","scott stewart","josh wingate","alan dale","jacob hopkins",2011,"English",5.7
793,"Sinbad: Legend of the Seven Seas","patrick gilmore","brad pitt","adriano giannini","timothy west",2003,"English",6.7
794,"Event Horizon","paul w.s. anderson","sean pertwee","joely richardson","kathleen quinlan",1997,"English",6.7
795,"The Avengers","joss whedon","chris hemsworth","robert downey jr.","scarlett johansson",2012,"English",8.1
796,"Dragonfly","tom shadyac","joe morton","susanna thompson","matt craven",2002,"English",6.1
797,"The Black Dahlia","brian de palma","scarlett johansson","mia kirshner","mike starr",2006,"English",5.6
798,"Flyboys","tony bill","james franco","tyler labine","philip winchester",2006,"English",6.6
799,"The Last Castle","rod lurie","clifton collins jr.","delroy lindo","michael irby",2001,"English",6.9
800,"Supernova","walter hill","robert forster","wilson cruz","vanessa marshall",2000,"English",4.8
801,"Winter's Tale","akiva goldsman","matt bomer","william hurt","kevin corrigan",2014,"English",6.2
802,"The Mortal Instruments: City of Bones","harald zwart","aidan turner","kevin zegers","cch pounder",2013,"English",6
803,"Meet Dave","brian robbins","marc blucas","mike o'malley","shawn christian",2008,"English",4.9
804,"Dark Water","walter salles","dougray scott","camryn manheim","ariel gade",2005,"English",5.6
805,"Edtv","ron howard","matthew mcconaughey","adam goldberg","clint howard",1999,"English",6.1
806,"Inkheart","iain softley","brendan fraser","stephen graham","jamie foreman",2008,"English",6.1
807,"The Spirit","frank miller","scarlett johansson","jaime king","louis lombardi",2008,"English",4.8
808,"Mortdecai","david koepp","johnny depp","olivia munn","ulrich thomsen",2015,"English",5.5
809,"In the Name of the King: A Dungeon Siege Tale","uwe boll","jason statham","mike dopud","tania saulnier",2007,"English",3.8
810,"Beyond Borders","martin campbell","angelina jolie pitt","teri polo","noah emmerich",2003,"English",6.5
811,"Xi you ji zhi: Sun Wukong san da Baigu Jing","pou-soi cheang","li gong","aaron kwok","eddie peng",2016,"English",6
812,"The Great Raid","john dahl","james franco","clayne crawford","paolo montalban",2005,"Filipino",6.7
813,"Deadpool","tim miller","ryan reynolds","ed skrein","stefan kapicic",2016,"English",8.1
814,"Holy Man","stephen herek","kelly preston","morgan fairchild","eric mccormack",1998,"English",4.9
815,"American Sniper","clint eastwood","bradley cooper","leonard roberts","keir o'donnell",2014,"English",7.3
816,"Goosebumps","rob letterman","odeya rush","dylan minnette","ken marino",2015,"English",6.4
817,"Sabrina, the Teenage Witch            ","","nate richert","soleil moon frye","caroline rhea",NA,"English",6.6
818,"Just Like Heaven","mark waters","jon heder","ivana milicevic","willie garson",2005,"English",6.7
819,"The Flintstones in Viva Rock Vegas","brian levant","taylor negron","mark addy","danny woodburn",2000,"English",3.6
820,"Rambo III","peter macdonald","sylvester stallone","kurtwood smith","richard crenna",1988,"English",5.7
821,"Leatherheads","george clooney","robert baker","malcolm goodwin","matt bushell",2008,"English",6
822,"The Ridiculous 6","frank coraci","taylor lautner","adam sandler","jon lovitz",2015,"English",4.9
823,"Did You Hear About the Morgans?","marc lawrence","michael kelly","kim shaw","kevin brown",2009,"English",4.7
824,"The Internship","shawn levy","josh gad","jessica szohr","rob riggle",2013,"English",6.3
825,"Resident Evil: Afterlife","paul w.s. anderson","milla jovovich","boris kodjoe","shawn roberts",2010,"English",5.9
826,"Red Tails","anthony hemingway","david oyelowo","nate parker","tristan mack wilds",2012,"English",5.9
827,"Sex and the City","","chris noth","kristin davis","cynthia nixon",NA,"English",7
828,"The Devil's Advocate","taylor hackford","keanu reeves","al pacino","charlize theron",1997,"English",7.5
829,"That's My Boy","sean anders","adam sandler","leighton meester","will forte",2012,"English",5.6
830,"DragonHeart","rob cohen","dennis quaid","brian thompson","terry o'neill",1996,"English",6.4
831,"After the Sunset","brett ratner","salma hayek","don cheadle","chris penn",2004,"English",6.3
832,"Ghost Rider: Spirit of Vengeance","mark neveldine","nicolas cage","spencer wilding","christopher lambert",2011,"English",4.3
833,"Captain Corelli's Mandolin","john madden","christian bale","irene papas","mihalis giannatos",2001,"English",5.9
834,"Anger Management","","barry corbin","noureen dewulf","brian austin green",NA,"English",6.7
835,"The Pacifier","adam shankman","vin diesel","brad garrett","tate donovan",2005,"English",5.5
836,"Walking Tall","kevin bray","dwayne johnson","ashley scott","michael bowen",2004,"English",6.2
837,"Forrest Gump","robert zemeckis","tom hanks","siobhan fallon hogan","sam anderson",1994,"English",8.8
838,"Alvin and the Chipmunks","tim hill","jesse mccartney","beth riesgraf","matthew gray gubler",2007,"English",5.2
839,"Meet the Parents","jay roach","robert de niro","blythe danner","teri polo",2000,"English",7
840,"Pocahontas","mike gabriel","christian bale","frank welker","irene bedard",1995,"English",6.6
841,"Superman","richard donner","marlon brando","margot kidder","ned beatty",1978,"English",7.3
842,"The Nutty Professor","tom shadyac","jada pinkett smith","james coburn","dave chappelle",1996,"English",5.6
843,"Hitch","andy tennant","will smith","michael rapaport","kevin sussman",2005,"English",6.6
844,"George of the Jungle","sam weisman","brendan fraser","abraham benrubi","holland taylor",1997,"English",5.4
845,"American Wedding","jesse dylan","alyson hannigan","thomas ian nicholas","fred willard",2003,"English",6.3
846,"Captain Phillips","paul greengrass","tom hanks","chris mulkey","michael chernus",2013,"English",7.9
847,"Date Night","shawn levy","mila kunis","james franco","steve carell",2010,"English",6.3
848,"Casper","brad silberling","eric idle","fred rogers","cathy moriarty",1995,"English",6
849,"The Equalizer","antoine fuqua","denzel washington","chloë grace moretz","james wilcox",2014,"English",7.2
850,"Maid in Manhattan","wayne wang","bob hoskins","frances conroy","natasha richardson",2002,"English",5.1
851,"Crimson Tide","tony scott","denzel washington","viggo mortensen","ricky schroder",1995,"English",7.3
852,"The Pursuit of Happyness","gabriele muccino","will smith","kurt fuller","james karen",2006,"English",8
853,"Flightplan","robert schwentke","erika christensen","michael irby","haley ramm",2005,"English",6.2
854,"Disclosure","barry levinson","demi moore","dylan baker","roma maffia",1994,"English",6
855,"City of Angels","brad silberling","nicolas cage","andre braugher","colm feore",1998,"English",6.7
856,"Kill Bill: Vol. 1","quentin tarantino","david carradine","vivica a. fox","chiaki kuriyama",2003,"English",8.1
857,"Bowfinger","frank oz","robert downey jr.","adam alexi-malle","jamie kennedy",1999,"English",6.4
858,"Stargate SG-1","","christopher judge","don s. davis","gary jones",NA,"English",8.4
859,"Kill Bill: Vol. 2","quentin tarantino","vivica a. fox","michael parks","michael bowen",2004,"English",8
860,"Tango & Cash","andrey konchalovskiy","sylvester stallone","jack palance","brion james",1989,"English",6.3
861,"Death Becomes Her","robert zemeckis","bruce willis","meryl streep","isabella rossellini",1992,"English",6.4
862,"Shanghai Noon","tom dey","xander berkeley","jason connery","kate luyben",2000,"English",6.6
863,"Executive Decision","stuart baird","oliver platt","joe morton","j.t. walsh",1996,"English",6.4
864,"Mr. Popper's Penguins","mark waters","madeline carroll","ophelia lovibond","philip baker hall",2011,"English",6
865,"The Forbidden Kingdom","rob minkoff","jet li","thomas mcdonell","michael angarano",2008,"English",6.6
866,"Free Birds","jimmy hayward","amy poehler","carlos ponce","dan fogler",2013,"English",5.9
867,"Alien 3","david fincher","charles s. dutton","holt mccallany","paul mcgann",1992,"English",6.4
868,"Evita","alan parker","andrea corr","jimmy nail","peter polycarpou",1996,"English",6.3
869,"Ronin","john frankenheimer","robert de niro","natascha mcelhone","michael lonsdale",1998,"English",7.3
870,"The Ghost and the Darkness","stephen hopkins","tom wilkinson","bernard hill","om puri",1996,"English",6.8
871,"Paddington","paul king","julie walters","matt lucas","sally hawkins",2014,"English",7.2
872,"The Watch","akiva schaffer","will forte","nicholas braun","rosemarie dewitt",2012,"English",5.7
873,"The Hunted","william friedkin","connie nielsen","jenna boyd","rex linn",2003,"English",6
874,"Instinct","jon turteltaub","anthony hopkins","maura tierney","john ashton",1999,"English",6.5
875,"Stuck on You","bobby farrelly","matt damon","terence bernie hines","seymour cassel",2003,"English",5.8
876,"Semi-Pro","kent alterman","will ferrell","maura tierney","matt walsh",2008,"English",5.8
877,"The Pirates! Band of Misfits","peter lord","salma hayek","russell tovey","brian blessed",2012,"English",6.7
878,"Changeling","clint eastwood","angelina jolie pitt","michael kelly","colm feore",2008,"English",7.8
879,"Chain Reaction","andrew davis","keanu reeves","morgan freeman","kevin dunn",1996,"English",5.6
880,"The Fan","tony scott","robert de niro","kurt fuller","ellen barkin",1996,"English",5.8
881,"The Phantom of the Opera","joel schumacher","gerard butler","minnie driver","miranda richardson",2004,"English",7.4
882,"Elizabeth: The Golden Age","shekhar kapur","eddie redmayne","abbie cornish","jordi mollà",2007,"English",6.9
883,"Æon Flux","karyn kusama","charlize theron","sophie okonedo","paterson joseph",2005,"English",5.5
884,"Gods and Generals","ron maxwell","billy campbell","bruce boxleitner","john castle",2003,"English",6.3
885,"Turbulence","robert butler","hector elizondo","lauren holly","jeffrey demunn",1997,"English",4.7
886,"Imagine That","karey kirkpatrick","stephen root","ronny cox","richard schiff",2009,"English",5.6
887,"Muppets Most Wanted","james bobin","ty burrell","tina fey","hugh bonneville",2014,"English",6.4
888,"Thunderbirds","jonathan frakes","sophia myles","philip winchester","brady corbet",2004,"English",4.2
889,"Burlesque","steve antin","eric dane","peter gallagher","david walton",2010,"English",6.4
890,"A Very Long Engagement","jean-pierre jeunet","denis lavant","andré dussollier","albert dupontel",2004,"French",7.7
891,"Lolita","stanley kubrick","james mason","shelley winters","lois maxwell",1962,"English",7.7
892,"Eye See You","jim gillespie","sylvester stallone","tom berenger","charles s. dutton",2002,"English",5.3
893,"Blade II","guillermo del toro","norman reedus","thomas kretschmann","tony curran",2002,"English",6.7
894,"Seven Pounds","gabriele muccino","will smith","rosario dawson","madison pettis",2008,"English",7.7
895,"Bullet to the Head","walter hill","sylvester stallone","jason momoa","jon seda",2012,"English",5.7
896,"The Godfather: Part III","francis ford coppola","al pacino","joe mantegna","bridget fonda",1990,"English",7.6
897,"Elizabethtown","cameron crowe","orlando bloom","kirsten dunst","judy greer",2005,"English",6.4
898,"You, Me and Dupree","anthony russo","todd stashwick","billy gardell","amanda detmer",2006,"English",5.6
899,"Superman II","richard lester","margot kidder","ned beatty","jackie cooper",1980,"English",6.8
900,"Gigli","martin brest","todd giebenhain","lenny venito","david backus",2003,"English",2.4
901,"All the King's Men","steven zaillian","kate winslet","anthony hopkins","kevin dunn",2006,"English",6.2
902,"Shaft","john singleton","christian bale","vanessa williams","daniel von bargen",2000,"English",5.9
903,"Anastasia","don bluth","kirsten dunst","kelsey grammer","bernadette peters",1997,"English",7.1
904,"Moulin Rouge!","baz luhrmann","jim broadbent","kylie minogue","richard roxburgh",2001,"English",7.6
905,"Domestic Disturbance","harold becker","steve buscemi","teri polo","matt o'leary",2001,"English",5.5
906,"Black Mass","scott cooper","johnny depp","benedict cumberbatch","adam scott",2015,"English",7
907,"Flags of Our Fathers","clint eastwood","paul walker","chris bauer","tom mccarthy",2006,"English",7.1
908,"Law Abiding Citizen","f. gary gray","gerard butler","leslie bibb","michael kelly",2009,"English",7.4
909,"Grindhouse","robert rodriguez","quentin tarantino","rosario dawson","zoë bell",2007,"English",7.6
910,"Beloved","jonathan demme","oprah winfrey","kimberly elise","hill harper",1998,"English",5.9
911,"Lucky You","curtis hanson","robert downey jr.","robert duvall","kelvin han yee",2007,"English",5.9
912,"Catch Me If You Can","steven spielberg","leonardo dicaprio","tom hanks","jennifer garner",2002,"English",8
913,"Zero Dark Thirty","kathryn bigelow","jennifer ehle","harold perrineau","parker sawyers",2012,"English",7.4
914,"The Break-Up","peyton reed","jon favreau","john michael higgins","ann-margret",2006,"English",5.8
915,"Mamma Mia!","phyllida lloyd","colin firth","meryl streep","julie walters",2008,"English",6.3
916,"Valentine's Day","garry marshall","bradley cooper","taylor lautner","anne hathaway",2010,"English",5.7
917,"The Dukes of Hazzard","jay chandrasekhar","alice greczyn","jessica simpson","michael weston",2005,"English",5.1
918,"The Thin Red Line","terrence malick","nick stahl","miranda otto","dash mihok",1998,"English",7.6
919,"The Change-Up","david dobkin","ryan reynolds","olivia wilde","mircea monroe",2011,"English",6.4
920,"Man on the Moon","milos forman","matt price","gerry becker","tom dreesen",1999,"English",7.4
921,"Casino","martin scorsese","robert de niro","don rickles","kevin pollak",1995,"English",8.2
922,"From Paris with Love","pierre morel","kasia smutniak","amber rose revah","rebecca dayan",2010,"English",6.5
923,"Bulletproof Monk","paul hunter","jaime king","mako","victoria smurfit",2003,"English",5.5
924,"Me, Myself & Irene","bobby farrelly","robert forster","tony cox","rob moran",2000,"English",6.5
925,"Barnyard","steve oedekerk","rob paulsen","wanda sykes","maurice lamarche",2006,"English",5.6
926,"Deck the Halls","john whitesell","matthew broderick","jorge garcia","alia shawkat",2006,"English",4.9
927,"The Twilight Saga: New Moon","chris weitz","robert pattinson","kristen stewart","taylor lautner",2009,"English",4.6
928,"Shrek","andrew adamson","kathleen freeman","chris miller","bobby block",2001,"English",7.9
929,"The Adjustment Bureau","george nolfi","matt damon","michael kelly","jon stewart",2011,"English",7.1
930,"Robin Hood: Prince of Thieves","kevin reynolds","alan rickman","morgan freeman","michael wincott",1991,"English",6.9
931,"Jerry Maguire","cameron crowe","tom cruise","kelly preston","bonnie hunt",1996,"English",7.3
932,"Ted","seth macfarlane","mila kunis","seth macfarlane","tom skerritt",2012,"English",7
933,"As Good as It Gets","james l. brooks","lupe ontiveros","yeardley smith","shirley knight",1997,"English",7.7
934,"Patch Adams","tom shadyac","robin williams","philip seymour hoffman","monica potter",1998,"English",6.7
935,"Anchorman 2: The Legend Continues","adam mckay","harrison ford","will ferrell","steve carell",2013,"English",6.3
936,"Mr. Deeds","steven brill","steve buscemi","adam sandler","peter gallagher",2002,"English",5.8
937,"Super 8","j.j. abrams","joel courtney","aj michalka","zach mills",2011,"English",7.1
938,"Erin Brockovich","steven soderbergh","julia roberts","albert finney","conchata ferrell",2000,"English",7.3
939,"How to Lose a Guy in 10 Days","donald petrie","matthew mcconaughey","adam goldberg","thomas lennon",2003,"English",6.4
940,"22 Jump Street","phil lord","channing tatum","craig roberts","amber stevens west",2014,"English",7.1
941,"Interview with the Vampire: The Vampire Chronicles","neil jordan","brad pitt","tom cruise","kirsten dunst",1994,"English",7.6
942,"Yes Man","peyton reed","bradley cooper","zooey deschanel","danny masterson",2008,"English",6.8
943,"Central Intelligence","rawson marshall thurber","dwayne johnson","thomas kretschmann","megan park",2016,"English",6.6
944,"Stepmom","chris columbus","julia roberts","liam aiken","herbert russell",1998,"English",6.7
945,"Daddy's Home","sean anders","will ferrell","linda cardellini","mark l. young",2015,"English",6.1
946,"Into the Woods","rob marshall","johnny depp","meryl streep","anna kendrick",2014,"English",6
947,"Inside Man","spike lee","denzel washington","james ransone","peter gerety",2006,"English",7.6
948,"Payback","brian helgeland","bill duke","deborah kara unger","william devane",1999,"English",7.1
949,"Congo","frank marshall","dylan walsh","joe don baker","grant heslov",1995,"English",5
950,"We Bought a Zoo","cameron crowe","scarlett johansson","matt damon","stephanie szostak",2011,"English",7.1
951,"Knowing","alex proyas","nicolas cage","ben mendelsohn","chandler canterbury",2009,"English",6.2
952,"Failure to Launch","tom dey","bradley cooper","matthew mcconaughey","zooey deschanel",2006,"English",5.6
953,"The Ring Two","hideo nakata","naomi watts","gary cole","sissy spacek",2005,"English",5.4
954,"Crazy, Stupid, Love.","glenn ficarra","ryan gosling","emma stone","steve carell",2011,"English",7.4
955,"Garfield","peter hewitt","bill murray","mark christopher lawrence","michael monks",2004,"English",5
956,"Christmas with the Kranks","joe roth","jamie lee curtis","cheech marin","jake busey",2004,"English",5.2
957,"Moneyball","bennett miller","philip seymour hoffman","robin wright","brad pitt",2011,"English",7.6
958,"Outbreak","wolfgang petersen","kevin spacey","morgan freeman","rene russo",1995,"English",6.6
959,"Non-Stop","jaume collet-serra","liam neeson","nate parker","scoot mcnairy",2014,"English",7
960,"Race to Witch Mountain","andy fickman","dwayne johnson","billy brown","tom everett scott",2009,"English",5.7
961,"V for Vendetta","james mcteigue","natalie portman","eddie marsan","rupert graves",2005,"English",8.2
962,"Shanghai Knights","david dobkin","fann wong","anna-louise plowman","georgina chapman",2003,"English",6.2
963,"Unforgotten","","bernard hill","gemma jones","nicola walker",NA,"English",7.9
964,"Curious George","matthew o'callaghan","will ferrell","frank welker","alexander gould",2006,"English",6.6
965,"Herbie Fully Loaded","angela robinson","scoot mcnairy","thomas lennon","cheryl hines",2005,"English",4.7
966,"Don't Say a Word","gary fleder","oliver platt","jennifer esposito","conrad goode",2001,"English",6.3
967,"Hansel & Gretel: Witch Hunters","tommy wirkola","jeremy renner","derek mears","ingrid bolsø berdal",2013,"English",6.1
968,"Unfaithful","adrian lyne","olivier martinez","erik per sullivan","chad lowe",2002,"English",6.7
969,"I Am Number Four","d.j. caruso","alex pettyfer","emily wickersham","reuben langdon",2011,"English",6.1
970,"Syriana","stephen gaghan","matt damon","amr waked","kayvan novak",2005,"English",7
971,"13 Hours","michael bay","toby stephens","james badge dale","david costabile",2016,"English",7.4
972,"The Book of Life","jorge r. gutiérrez","channing tatum","hector elizondo","ana de la reguera",2014,"English",7.3
973,"Firewall","richard loncraine","jimmy bennett","harrison ford","mary lynn rajskub",2006,"English",5.8
974,"Absolute Power","clint eastwood","clint eastwood","mark margolis","scott glenn",1997,"English",6.7
975,"G.I. Jane","ridley scott","viggo mortensen","demi moore","john michael higgins",1997,"English",5.8
976,"The Game","david fincher","deborah kara unger","armin mueller-stahl","charles martinet",1997,"English",7.8
977,"Silent Hill","christophe gans","radha mitchell","deborah kara unger","alice krige",2006,"English",6.6
978,"The Replacements","howard deutch","keanu reeves","jon favreau","faizon love",2000,"English",6.5
979,"American Reunion","jon hurwitz","alyson hannigan","dania ramirez","natasha lyonne",2012,"English",6.7
980,"The Negotiator","f. gary gray","kevin spacey","michael cudlitz","siobhan fallon hogan",1998,"English",7.3
981,"Into the Storm","steven quale","matt walsh","alycia debnam-carey","scott lawrence",2014,"English",5.8
982,"Beverly Hills Cop III","john landis","louis lombardi","jon tenney","gilbert r. hill",1994,"English",5.5
983,"Gremlins 2: The New Batch","joe dante","christopher lee","robert picardo","phoebe cates",1990,"English",6.3
984,"The Judge","david dobkin","robert downey jr.","robert duvall","leighton meester",2014,"English",7.4
985,"The Peacemaker","mimi leder","armin mueller-stahl","holt mccallany","marcel iures",1997,"English",5.9
986,"Resident Evil: Apocalypse","alexander witt","milla jovovich","thomas kretschmann","mike epps",2004,"English",6.2
987,"Bridget Jones: The Edge of Reason","beeban kidron","colin firth","jim broadbent","celia imrie",2004,"English",5.9
988,"Out of Time","carl franklin","denzel washington","sanaa lathan","john billingsley",2003,"English",6.5
989,"On Deadly Ground","steven seagal","mike starr","joan chen","sven-ole thorsen",1994,"English",4.4
990,"The Adventures of Sharkboy and Lavagirl 3-D","robert rodriguez","taylor lautner","kristin davis","taylor dooley",2005,"English",3.5
991,"The Beach","danny boyle","leonardo dicaprio","virginie ledoyen","peter youngblood hills",2000,"English",6.6
992,"Raising Helen","garry marshall","amber valletta","felicity huffman","spencer breslin",2004,"English",6
993,"Ninja Assassin","james mcteigue","shô kosugi","ben miles","rain",2009,"English",6.4
994,"For Love of the Game","sam raimi","j.k. simmons","kelly preston","carmine giovinazzo",1999,"English",6.5
995,"A Touch of Frost","","david jason","bruce alexander","john lyons",NA,"English",7.8
996,"Striptease","andrew bergman","demi moore","rumer willis","paul guilfoyle",1996,"English",4.3
997,"Marmaduke","tom dey","emma stone","judy greer","steve coogan",2010,"English",4.2
998,"Hereafter","clint eastwood","matt damon","jay mohr","cécile de france",2010,"English",6.5
999,"Murder by Numbers","barbet schroeder","ryan gosling","chris penn","agnes bruckner",2002,"English",6.1
1000,"Assassins","richard donner","muse watson","sylvester stallone","kelly rowan",1995,"English",6.3
1001,"Hannibal Rising","peter webber","li gong","stephen walters","richard brake",2007,"English",6.2
1002,"The Story of Us","rob reiner","bruce willis","tim matheson","rita wilson",1999,"English",5.9
1003,"The Host","andrew niccol","j.d. evermore","chandler canterbury","rachel roberts",2013,"English",5.9
1004,"Basic","john mctiernan","connie nielsen","harry connick jr.","tim daly",2003,"English",6.5
1005,"Blood Work","clint eastwood","clint eastwood","anjelica huston","rick hoffman",2002,"English",6.4
1006,"The International","tom tykwer","naomi watts","brían f. o'byrne","armin mueller-stahl",2009,"English",6.5
1007,"Escape from L.A.","john carpenter","steve buscemi","valeria golino","michelle forbes",1996,"English",5.7
1008,"Twisted","","grey damon","brittany curran","aaron hill",NA,"English",7.5
1009,"The Iron Giant","brad bird","vin diesel","harry connick jr.","m. emmet walsh",1999,"English",8
1010,"The Life Aquatic with Steve Zissou","wes anderson","bill murray","anjelica huston","matthew gray gubler",2004,"English",7.3
1011,"Free State of Jones","gary ross","matthew mcconaughey","donald watkins","jessica collins",2016,"English",6.7
1012,"The Life of David Gale","alan parker","kevin spacey","kate winslet","matt craven",2003,"English",7.5
1013,"Man of the House","stephen herek","christina milian","vanessa ferlito","kelli garner",2005,"English",5.4
1014,"Run All Night","jaume collet-serra","liam neeson","common","bruce mcgill",2015,"English",6.6
1015,"Eastern Promises","david cronenberg","viggo mortensen","naomi watts","raza jaffrey",2007,"English",7.7
1016,"Into the Blue","john stockwell","paul walker","james frain","ashley scott",2005,"English",5.8
1017,"The Messenger: The Story of Joan of Arc","luc besson","paul brooke","david bailie","rab affleck",1999,"English",6.4
1018,"Your Highness","david gordon green","natalie portman","zooey deschanel","james franco",2011,"English",5.6
1019,"Dream House","jim sheridan","naomi watts","gregory smith","sarah gadon",2011,"English",6
1020,"Mad City","costa-gavras","mia kirshner","blythe danner","william atherton",1997,"English",6.2
1021,"Baby's Day Out","patrick read johnson","joe mantegna","lara flynn boyle","cynthia nixon",1994,"English",5.9
1022,"The Scarlet Letter","roland joffé","gary oldman","robert duvall","demi moore",1995,"English",5.1
1023,"Fair Game","doug liman","naomi watts","ty burrell","brooke smith",2010,"English",6.8
1024,"Defiance","","julie benz","tony curran","grant bowler",NA,"English",7
1025,"Domino","tony scott","ian ziering","mo'nique","edgar ramírez",2005,"English",6
1026,"Jade","william friedkin","michael biehn","chazz palminteri","linda fiorentino",1995,"English",5.1
1027,"Gamer","mark neveldine","gerard butler","logan lerman","alison lohman",2009,"English",5.8
1028,"Beautiful Creatures","richard lagravenese","alden ehrenreich","zoey deutch","pruitt taylor vince",2013,"English",6.2
1029,"Death to Smoochy","danny devito","robin williams","vincent schiavelli","danny woodburn",2002,"English",6.4
1030,"Zoolander 2","ben stiller","milla jovovich","will ferrell","justin theroux",2016,"English",4.8
1031,"The Big Bounce","george armitage","morgan freeman","andrew wilson","willie nelson",2004,"English",4.9
1032,"What Planet Are You From?","mike nichols","judy greer","linda fiorentino","garry shandling",2000,"English",5.6
1033,"Drive Angry","patrick lussier","nicolas cage","billy burke","katy mixon",2011,"English",5.5
1034,"Street Fighter: The Legend of Chun-Li","andrzej bartkowiak","chris klein","robin shou","josie ho",2009,"English",3.7
1035,"The One","james wong","jason statham","jet li","delroy lindo",2001,"English",5.9
1036,"Outlander","","tobias menzies","graham mctavish","stephen walters",NA,"English",8.5
1037,"The Adventures of Ford Fairlane","renny harlin","lauren holly","gilbert gottfried","david patrick kelly",1990,"English",6.3
1038,"Pirate Radio","richard curtis","philip seymour hoffman","charlie rowe","tom sturridge",2009,"English",7.4
1039,"Traffic","steven soderbergh","michael o'neill","jacob vargas","james lew",2000,"English",7.6
1040,"Indiana Jones and the Last Crusade","steven spielberg","harrison ford","julian glover","alison doody",1989,"English",8.3
1041,"Anna Karenina","joe wright","kelly macdonald","guro nagelhus schia","matthew macfadyen",2012,"English",6.6
1042,"Chappie","neill blomkamp","hugh jackman","sharlto copley","jose pablo cantillo",2015,"English",6.9
1043,"The Bone Collector","phillip noyce","denzel washington","angelina jolie pitt","leland orser",1999,"English",6.7
1044,"Panic Room","david fincher","kristen stewart","dwight yoakam","mel rodriguez",2002,"English",6.8
1045,"The Tooth Fairy","chuck bowman","p.j. soles","lochlyn munro","steve bacic",2006,"English",4.6
1046,"Three Kings","david o. russell","judy greer","jamie kennedy","mykelti williamson",1999,"English",7.1
1047,"Child 44","daniel espinosa","tom hardy","fares fares","michael nardone",2015,"English",6.4
1048,"Rat Race","jerry zucker","corinna harney","douglas haase","vince vieluf",2001,"English",6.4
1049,"K-PAX","iain softley","kevin spacey","jeff bridges","alfre woodard",2001,"English",7.4
1050,"Kate & Leopold","james mangold","hugh jackman","natasha lyonne","bradley whitford",2001,"English",6.4
1051,"Bedazzled","harold ramis","brendan fraser","frances o'connor","brian doyle-murray",2000,"English",6
1052,"The Cotton Club","francis ford coppola","nicolas cage","bob hoskins","fred gwynne",1984,"English",6.5
1053,"3:10 to Yuma","james mangold","christian bale","logan lerman","gretchen mol",2007,"English",7.8
1054,"Taken 3","olivier megaton","liam neeson","dougray scott","jon gries",2014,"English",6
1055,"Out of Sight","steven soderbergh","don cheadle","albert brooks","keith hudson",1998,"English",7
1056,"The Cable Guy","ben stiller","matthew broderick","janeane garofalo","andy dick",1996,"English",6
